abbreviation,rarity,count,condition,is_first_ed,language_id,product_id,id,comments,status,from,game_id,comments_special_cm,comments_special_ad,prix_a_envoyer,guid,price,comment_mkm
DB1,Common,2,GD,False,1,101999,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DB1-3GD-130-1-f-RG[01],(08)YRG[01]-DB1-3GD-130-1-f-RG[01]-101999,NaN,(08)YRG[01]-DB1-3GD-1-F-101999,NaN,(08)YRG[01]-DB1-3GD-130-1-f-RG[01]
MFC,Rare,1,GD,False,1,102007,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-MFC-3GD-075-1-f-RG[01],(08)YRG[01]-MFC-3GD-075-1-f-RG[01]-102007,NaN,(08)YRG[01]-MFC-3GD-1-F-102007,NaN,(08)YRG[01]-MFC-3GD-075-1-f-RG[01]
SDJ,Common,1,NM,False,1,102012,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-SDJ-1NM-009-1-f-RG[01],(08)YRG[01]-SDJ-1NM-009-1-f-RG[01]-102012,NaN,(08)YRG[01]-SDJ-1NM-1-F-102012,NaN,(08)YRG[01]-SDJ-1NM-009-1-f-RG[01]
DB1,Common,1,GD,False,1,102014,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DB1-3GD-149-1-f-RG[01],(08)YRG[01]-DB1-3GD-149-1-f-RG[01]-102014,NaN,(08)YRG[01]-DB1-3GD-1-F-102014,NaN,(08)YRG[01]-DB1-3GD-149-1-f-RG[01]
DCR,Common,8,EX,False,2,102020,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-048-2-f-RG[01],(08)YRG[01]-DCR-2EX-048-2-f-RG[01]-102020,NaN,(08)YRG[01]-DCR-2EX-2-F-102020,NaN,(08)YRG[01]-DCR-2EX-048-2-f-RG[01]
DCR,Common,1,GD,False,1,102020,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-3GD-048-1-f-RG[01],(08)YRG[01]-DCR-3GD-048-1-f-RG[01]-102020,NaN,(08)YRG[01]-DCR-3GD-1-F-102020,NaN,(08)YRG[01]-DCR-3GD-048-1-f-RG[01]
DCR,Common,5,EX,False,2,102022,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-2EX-004-2-f-RG[01],(08)YRG[01]-DCR-2EX-004-2-f-RG[01]-102022,NaN,(08)YRG[01]-DCR-2EX-2-F-102022,NaN,(08)YRG[01]-DCR-2EX-004-2-f-RG[01]
DCR,Common,1,GD,False,1,102022,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DCR-3GD-004-1-f-RG[01],(08)YRG[01]-DCR-3GD-004-1-f-RG[01]-102022,NaN,(08)YRG[01]-DCR-3GD-1-F-102022,NaN,(08)YRG[01]-DCR-3GD-004-1-f-RG[01]
DR1,Common,4,EX,False,2,102023,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-2EX-166-2-f-RG[01],(08)YRG[01]-DR1-2EX-166-2-f-RG[01]-102023,NaN,(08)YRG[01]-DR1-2EX-2-F-102023,NaN,(08)YRG[01]-DR1-2EX-166-2-f-RG[01]
DR1,Common,5,GD,False,2,102023,0.0,,to_create,MEV_BDD,3,(08)YRG[01]-DR1-3GD-166-2-f-RG[01],(08)YRG[01]-DR1-3GD-166-2-f-RG[01]-102023,NaN,(08)YRG[01]-DR1-3GD-2-F-102023,NaN,(08)YRG[01]-DR1-3GD-166-2-f-RG[01]
