guid,price
(08)YRG[01]-CDIP-1NM-1-T-101861.0,0.88
(08)YRG[01]-CDIP-1NM-2-T-101861.0,1.1
(08)YRG[01]-CDIP-5PL-2-T-101861.0,0.22
(5)YRX[01]-CDIP-2EX-2-T-101862.0,2
(08)YRG[01]-CDIP-2EX-2-T-101862.0,1.87
(5)YRX[01]-CDIP-3GD-2-F-101862.0,1.02
(08)YRG[01]-CDIP-3GD-2-T-101862.0,1.21
(5)YRX[01]-CDIP-3GD-2-T-101862.0,1.37
(08)YRG[01]-CDIP-4LP-2-T-101862.0,0.88
(08)YRG[01]-CDIP-1NM-2-T-101862.0,2.2
(5)YRX[01]-CDIP-3GD-2-T-101863.0,6.65
(09)YRF[01]-CDIP-1NM-2-T-101863.0,10.48
(5)YRX[01]-DOR-2EX-2-F-101864.0,10.53
(00)CGC/JS-DOR-1NM-2-F-101864.0,14.25
(09)YRF[01]-DOR-1NM-2-F-101864.0,12.38
(00)Y/C00/GC/WCQ-DOR-1NM-2-F-101864.0,14.25
(XX)UNK[XX]-DOR-6PO-2-F-101864.0,2.15
(08)YRG[01]-DCR-2EX-2-F-101865.0,NaN
(08)YRG[01]-DCR-3GD-1-F-101865.0,NaN
(5)YRX[01]-DCR-1NM-1-F-101865.0,2.1
(08)YRG[01]-DR1-2EX-2-F-101866.0,1.87
(5)YRX[01]-DR1-2EX-2-F-101866.0,1.74
(08)YRG[01]-DR1-3GD-2-F-101866.0,1.21
(08)YRG[01]-DR1-5PL-2-F-101866.0,0.44
(5)YRX[01]-DB1-2EX-1-F-101867.0,1.62
(5)YRX[01]-LON-1NM-2-F-101868.0,1.68
(5)YRX[01]-DR1-2EX-2-F-101869.0,18.08
(00)CGC/6-DR1-1NM-2-F-101869.0,22.49
(00)Y/C00/GC/WCQ-DR1-1NM-2-F-101869.0,21.83
(5)YRX[01]-MFC-3GD-1-F-101870.0,1.62
(5)YRX[01]-MFC-1NM-1-F-101870.0,3.32
(5)YRX[01]-DR1-2EX-2-F-101871.0,2.25
(08)YRG[01]-DR1-2EX-2-F-101871.0,1.87
(08)YRG[01]-DR1-3GD-2-F-101871.0,1.21
(08)YRG[01]-MFC-3GD-1-F-101872.0,NaN
(5)YRX[01]-DR1-2EX-2-F-101874.0,2.21
(08)YRG[01]-DR1-4LP-2-F-101874.0,1.26
(08)YRG[01]-DR1-2EX-2-F-101876.0,NaN
(08)YRG[01]-DR1-4LP-2-F-101876.0,NaN
(08)YRG[01]-DR1-6PO-2-F-101876.0,NaN
(5)YRX[01]-DR1-2EX-1-F-101878.0,4.2
(5)YRX[01]-DR1-2EX-2-F-101878.0,4.77
(5)YRX[01]-DR1-4LP-2-F-101878.0,3.39
(08)YRG[01]-DR1-5PL-2-F-101878.0,2.67
(08)YRG[01]-MFC-3GD-1-F-101879.0,NaN
(5)YRX[01]-DR1-3GD-2-F-101880.0,11.08
(00)Y/C00/GC/WCQ-DR1-1NM-2-F-101880.0,17.5
(08)YRG[01]-DR1-3GD-2-F-101883.0,NaN
(08)YRG[01]-DR1-4LP-2-F-101883.0,NaN
(5)YRX[01]-MFC-3GD-1-F-101884.0,2.85
(08)YRG[01]-TAEV-2EX-2-F-101885.0,0.94
(5)YRX[01]-TAEV-2EX-2-T-101885.0,1.19
(5)YRX[01]-TAEV-3GD-1-T-101885.0,0.62
(5)YRX[01]-TAEV-1NM-2-F-101885.0,1.3
(08)YRG[01]-TAEV-1NM-2-F-101885.0,1.1
(08)YRG[01]-TAEV-1NM-2-T-101885.0,1.1
(5)YRX[01]-MRL-2EX-2-F-101887.0,6
(00)Y/C00/GC/WCQ-MDP2-1NM-1-F-101890.0,13.93
(5)YRX[01]-DR2-2EX-2-F-101891.0,2.38
(08)YRG[01]-DR2-2EX-2-F-101891.0,2.07
(5)YRX[01]-IOC-2EX-1-F-101892.0,0.72
(5)YRX[01]-IOC-2EX-1-T-101892.0,1.59
(5)YRX[01]-IOC-1NM-1-F-101892.0,1.15
(5)YRX[01]-IOC-1NM-2-F-101892.0,1.83
(XX)UNK[XX]-AST-2EX-4-T-101894.0,0.68
(3)YRF[01]-AST-3GD-2-F-101894.0,1.25
(09)YRF[01]-AST-1NM-2-F-101894.0,5.5
(XX)UNK[XX]-AST-1NM-2-T-101894.0,2.5
(08)YRG[01]-DR2-2EX-2-F-101895.0,2.36
(08)YRG[01]-TAEV-2EX-2-F-101896.0,0.94
(5)YRX[01]-TAEV-2EX-2-F-101896.0,0.94
(5)YRX[01]-TAEV-2EX-2-T-101896.0,1.19
(08)YRG[01]-TAEV-2EX-2-T-101896.0,0.94
(08)YRG[01]-TAEV-1NM-2-F-101896.0,1.1
(08)YRG[01]-TAEV-1NM-2-T-101896.0,1.1
(5)YRX[01]-TAEV-1NM-2-T-101896.0,1.3
(08)YRG[01]-DR1-3GD-2-F-101897.0,NaN
(08)YRG[01]-GLAS-2EX-2-T-101899.0,0.94
(08)YRG[01]-GLAS-3GD-2-T-101899.0,0.61
(08)YRG[01]-GLAS-4LP-2-T-101899.0,0.44
(5)YRX[01]-MRD-2EX-1-F-101900.0,2.15
(5)YRX[01]-MRD-1NM-2-F-101900.0,3.04
(XX)UNK[XX]-DP07-1NM-2-T-101901.0,1.38
(5)YRX[01]-FOTB-2EX-1-T-101902.0,3.05
(08)YRG[01]-FOTB-2EX-2-T-101902.0,2.76
(5)YRX[01]-FOTB-2EX-3-T-101902.0,2.2
(5)YRX[01]-FOTB-1NM-1-T-101902.0,3.36
(5)YRX[01]-MRD-2EX-1-F-101903.0,2.31
(5)YRX[01]-MRD-2EX-2-F-101903.0,2.16
(5)YRX[01]-MRD-3GD-2-T-101903.0,2.1
(5)YRX[01]-MRD-1NM-1-F-101903.0,2.65
(08)YRG[01]-MRD-1NM-1-F-101903.0,2.48
(5)YRX[01]-SDY-2EX-2-F-101904.0,1.08
(5)YRX[01]-SOI-2EX-2-T-101906.0,2
(08)YRG[01]-SOI-1NM-2-T-101906.0,1.38
(08)YRG[01]-TLM-2EX-2-F-101908.0,NaN
(08)YRG[01]-TLM-4LP-2-T-101908.0,NaN
(5)YRX[01]-SD10-3GD-2-T-101909.0,1.19
(5)YRX[01]-SOI-2EX-2-F-101910.0,1.35
(5)YRX[01]-SOI-2EX-2-T-101910.0,1.35
(5)YRX[01]-SOI-1NM-2-F-101910.0,1.48
(08)YRG[01]-SOI-1NM-2-F-101910.0,1.38
(08)YRG[01]-SOI-1NM-2-T-101910.0,1.38
(5)YRX[01]-SOI-1NM-2-T-101910.0,1.67
(3)YRF[01]-SOI-2EX-2-F-101912.0,3.69
(3)YRF[01]-SOI-1NM-2-T-101912.0,7
(5)YRX[01]-SD10-2EX-2-T-101913.0,0.94
(5)YRX[01]-SOI-2EX-2-T-101914.0,1.35
(5)YRX[01]-SOI-4LP-2-T-101914.0,0.62
(5)YRX[01]-SOI-1NM-2-T-101914.0,1.48
(08)YRG[01]-SOI-1NM-2-T-101914.0,1.38
(5)YRX[01]-SD10-2EX-2-T-101916.0,2.5
(08)YRG[01]-SOI-1NM-2-T-101918.0,1.38
(5)YRX[01]-SOI-1NM-2-T-101918.0,1.48
(5)YRX[01]-SD10-2EX-2-T-101920.0,2.1
(5)YRX[01]-SD10-3GD-2-T-101920.0,1.21
(5)YRX[01]-SD10-2EX-1-T-101921.0,3.01
(2)YCF[04]-SD10-2EX-2-T-101921.0,4.2
(5)YRX[01]-SD10-2EX-2-T-101921.0,4.2
(5)YRX[01]-SD10-3GD-2-T-101921.0,3.01
(XX)UNK[XX]-SD10-3GD-2-T-101921.0,2.42
(XX)UNK[XX]-SD10-3GD-3-T-101921.0,1.85
(5)YRX[01]-SD10-4LP-1-T-101921.0,1.7
(5)YRX[01]-SD10-4LP-2-T-101921.0,2.42
