id,name_en,name_fr,price,comments,count,condition,expansion,status,from,last_edited,is_signed,is_first_ed,is_altered,is_foil,is_reverse_holo,is_playset,game_id,language_id,currency_id,product_id,seller_id,created_at,updated_at,category_id
19306,,,1.98,(5)YRX[01] CROS (4SP1) UR [01],6,EX,,,,,,false,,,,,,2,,282504,,,,
19307,,,6.22,(5)YRX[01] CROS (4020) UR [01],1,NM,,,,,,true,,,,,,2,,282505,,,,
19308,,,5.75,(2)YCF[03] (UR) CROS (4020) [03],1,EX,,,,,,true,,,,,,2,,282505,,,,
19309,,,1.19,(5)YRX[01] CROS (6021) R [01],9,NM,,,,,,true,,,,,,2,,282506,,,,
19310,,,5.88,(5)YRX[01] CROS (4024) UR [01],1,NM,,,,,,true,,,,,,2,,282507,,,,
19311,,,4.9,(2)YCF[03] (UR) CROS (4024) [03],1,EX,,,,,,true,,,,,,2,,282507,,,,
19312,,,0.79,(5)YRX[01] CROS (6025) R [01],4,NM,,,,,,true,,,,,,2,,282508,,,,
19313,,,1.26,(5)YRX[01] CROS (6029) R [01],1,NM,,,,,,true,,,,,,2,,282509,,,,
19314,,,45.96,CGC 3,3,NM,,,,,,true,,,,,,2,,282510,,,,
19315,,,19.6,(2)YCF[01] (ScR) CROS (3060) [01],1,NM,,,,,,true,,,,,,2,,282511,,,,
19316,,,11.09,(5)YRX[01] CROS (3060) ScR [01],4,EX,,,,,,true,,,,,,2,,282511,,,,
19317,,,13.3,(2)YCF[01] (ScR) CROS (3060) [01],1,EX,,,,,,true,,,,,,2,,282511,,,,
19318,,,1.19,(5)YRX[01] CROS (6000) R [01],9,NM,,,,,,true,,,,,,2,,282570,,,,
19319,,,0.55,(08)YRG[01]-CROS-1NM-001-2-t-RG[01],2,NM,,,,,,true,,,,,,2,,282571,,,,
19320,,,1.69,(5)YRX[01] CROS (6002) R [01],6,NM,,,,,,true,,,,,,2,,282572,,,,
19321,,,0.55,(08)YRG[01]-CROS-1NM-003-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282573,,,,
19322,,,0.55,(08)YRG[01]-CROS-1NM-004-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282574,,,,
19323,,,0.55,(08)YRG[01]-CROS-1NM-005-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282575,,,,
19324,,,0.55,(08)YRG[01]-CROS-1NM-006-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282576,,,,
19325,,,0.54,(5)YRX[01] CROS (7007) C [01],9,NM,,,,,,true,,,,,,2,,282577,,,,
19326,,,0.55,(08)YRG[01]-CROS-1NM-009-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282579,,,,
19327,,,0.55,(08)YRG[01]-CROS-1NM-010-2-t-RG[01],4,NM,,,,,,true,,,,,,2,,282580,,,,
19328,,,1.13,(5)YRX[01] CROS (7010) C [01],2,NM,,,,,,true,,,,,,2,,282580,,,,
19329,,,0.55,(08)YRG[01]-CROS-1NM-011-2-t-RG[01],8,NM,,,,,,true,,,,,,2,,282581,,,,
19330,,,0.66,(5)YRX[01] CROS (7011) C [01],1,EX,,,,,,true,,,,,,2,,282581,,,,
19331,,,0.55,(08)YRG[01]-CROS-1NM-012-2-t-RG[01],6,NM,,,,,,true,,,,,,2,,282582,,,,
19332,,,0.55,(08)YRG[01]-CROS-1NM-013-2-t-RG[01],6,NM,,,,,,true,,,,,,2,,282583,,,,
19333,,,0.72,(08)YRG[01]-CROS-1NM-014-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282584,,,,
19334,,,0.55,(08)YRG[01]-CROS-1NM-015-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282585,,,,
19335,,,0.55,(08)YRG[01]-CROS-1NM-016-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282586,,,,
19336,,,0.55,(08)YRG[01]-CROS-1NM-017-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282587,,,,
19337,,,0.68,(5)YRX[01] CROS (7018) C [01],8,NM,,,,,,true,,,,,,2,,282588,,,,
19338,,,0.55,(08)YRG[01]-CROS-1NM-018-2-t-RG[01],1,NM,,,,,,true,,,,,,2,,282588,,,,
19339,,,1.19,(5)YRX[01] CROS (6019) R [01],6,NM,,,,,,true,,,,,,2,,282589,,,,
19340,,,0.55,(08)YRG[01]-CROS-1NM-022-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282590,,,,
19341,,,0.55,(08)YRG[01]-CROS-1NM-023-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282591,,,,
19342,,,0.55,(08)YRG[01]-CROS-1NM-026-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282592,,,,
19343,,,0.55,(08)YRG[01]-CROS-1NM-027-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282593,,,,
19344,,,0.55,(08)YRG[01]-CROS-1NM-028-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282594,,,,
19345,,,11.07,(5)YRX[01] CROS (4030) UR [01],1,EX,,,,,,true,,,,,,2,,282595,,,,
19346,,,0.55,(08)YRG[01]-CROS-1NM-031-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282596,,,,
19347,,,6.84,(5)YRX[01] CROS (4032) UR [01],1,NM,,,,,,true,,,,,,2,,282597,,,,
19348,,,68.53,(5)YRX[01] CROS (3033) ScR [01],1,EX,,,,,,false,,,,,,2,,282598,,,,
19349,,,0.68,(5)YRX[01] CROS (7034) C [01],9,NM,,,,,,true,,,,,,2,,282599,,,,
19350,,,1.01,(08)YRG[01]-CROS-1NM-035-2-t-RG[01],5,NM,,,,,,true,,,,,,2,,282600,,,,
19351,,,1.01,R23/F,1,NM,,,,,,true,,,,,,2,,282600,,,,
19352,,,0.55,(08)YRG[01]-CROS-1NM-036-2-t-RG[01],9,NM,,,,,,true,,,,,,2,,282601,,,,
19353,,,0.55,(08)YRG[01]-CROS-1NM-037-2-t-RG[01],3,NM,,,,,,true,,,,,,2,,282602,,,,
19354,,,0.68,(5)YRX[01] CROS (7037) C [01],1,NM,,,,,,true,,,,,,2,,282602,,,,
19355,,,18.57,(5)YRX[01] CROS (3038) ScR [01],2,GD,,,,,,true,,,,,,2,,282603,,,,
19356,,,53.17,Y C00 GC WCQ,1,NM,,,,,,true,,,,,,2,,282604,,,,
19357,,,2.45,(5)YRX[01] CROS (6039) R [01],1,NM,,,,,,true,,,,,,2,,282605,,,,
19358,,,3.04,(5)YRX[01] CROS (4040) UR [01],1,EX,,,,,,true,,,,,,2,,282606,,,,
